编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,电话4,商家地址,宝贝数,销量,月销售额,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
30,北京星诺商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao熙珍旗舰店"，"点我对话"),熙珍旗舰店,熙珍旗舰店,,,,,https://shop117801100.taobao.com,,,3054584.00,北京,针织女,,4.92539分,41.33%,4.88135分,29.63%,4.9分,37.34%,,,,,,,,,,
31,北京卓文时尚纺织股份有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao思诺芙德旗舰店"，"点我对话"),思诺芙德旗舰店,思诺芙德旗舰店,,,,,https://shop59522703.taobao.com,,,0,北京,针织女,,4.92071分,37.65%,4.90783分,45.33%,4.9336分,58.40%,,,,,,,,,,
32,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaotb4156789_00"，"点我对话"),tb4156789_00,净言生活铺,,,,,https://shop200198090.taobao.com,,,8949.10,北京,针织女,,4.44199分,-7.36%,4.53687分,-6.18%,4.58112分,-5.39%,,,,,,,,,,
33,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocuicui27"，"点我对话"),cuicui27,CC27,,,,,https://shop67240804.taobao.com,,,0,北京,针织女,,4.77069分,-0.51%,4.81785分,0.37%,4.82605分,0.33%,,,,,,,,,,
34,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蒙蒙雨精品服饰"，"点我对话"),蒙蒙雨精品服饰,蒙蒙雨羊绒工厂店,,,,,https://shop101773597.taobao.com,,,277690.00,北京,针织女,,4.88773分,45.20%,4.92559分,54.73%,4.93211分,57.02%,,,,,,,,,,
35,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao倾香茉莉"，"点我对话"),倾香茉莉,棉麻世家--棉麻艺术家,,,,,https://shop59360658.taobao.com,,,22550.00,北京,针织女,,4.79206分,0.10%,4.83039分,0.11%,4.86066分,11.86%,,,,,,,,,,
36,北京爱洋洋科贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoiyyiyy旗舰店"，"点我对话"),iyyiyy旗舰店,iyyiyy旗舰店,,,,,https://shop62180507.taobao.com,,,4249817.55,北京,针织女,,4.89327分,16.09%,4.8239分,0%,4.82659分,0%,,,,,,,,,,
37,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao欧韩美衣潮流店"，"点我对话"),欧韩美衣潮流店,欧韩美衣潮流店,,,,,https://shop176806058.taobao.com,,,415385.00,北京,针织女,,4.76613,-0.60%,4.80342,-0.67%,4.81878分,0.48%,,,,,,,,,,
38,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao鄂尔斯贝"，"点我对话"),鄂尔斯贝,牧皇毛衫厂家直销,,,,,https://shop61047767.taobao.com,,,60180.00,北京,针织女,,4.80117,3.01%,4.87719,25.34%,4.8538分,7.52%,,,,,,,,,,
39,北京红英自由马服装服饰有限责任公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao红英旗舰店"，"点我对话"),红英旗舰店,红英旗舰店,,,,,https://shop102394835.taobao.com,,,375468.00,北京,针织女,,4.92659分,42.27%,4.87168分,23.89%,4.87052分,18.87%,,,,,,,,,,
